iter	Passed	Remaining
0	1	282
1	3	229
2	4	227
3	6	226
4	7	218
5	8	203
6	9	194
7	11	197
8	12	197
9	13	192
10	14	187
11	15	175
12	16	171
13	17	169
14	18	166
15	19	163
16	20	159
17	21	156
18	22	153
19	23	151
20	24	148
21	25	146
22	25	143
23	26	141
24	27	138
25	28	136
26	29	134
27	30	133
28	31	131
29	32	130
30	33	128
31	34	126
32	35	125
33	36	124
34	37	122
35	38	121
36	39	120
37	40	118
38	41	116
39	41	115
40	42	114
41	43	112
42	44	110
43	45	109
44	46	108
45	47	106
46	48	105
47	49	104
48	49	102
49	50	101
50	51	100
51	52	98
52	53	97
53	54	96
54	55	96
55	56	94
56	57	93
57	58	92
58	58	90
59	59	89
60	60	88
61	61	86
62	61	85
63	62	84
64	63	83
65	64	82
66	65	81
67	66	80
68	67	78
69	68	77
70	68	76
71	69	75
72	70	74
73	71	73
74	72	72
75	73	71
76	73	69
77	74	68
78	75	67
79	76	66
80	77	65
81	78	64
82	78	63
83	79	62
84	80	61
85	81	60
86	81	59
87	82	58
88	83	57
89	84	56
90	85	55
91	85	54
92	86	53
93	87	52
94	88	51
95	89	50
96	89	49
97	90	48
98	91	47
99	92	46
100	93	45
101	93	44
102	94	43
103	95	42
104	96	41
105	97	40
106	98	39
107	98	38
108	99	37
109	100	36
110	101	35
111	101	34
112	102	33
113	103	32
114	104	31
115	105	30
116	105	29
117	106	28
118	107	27
119	108	27
120	108	26
121	109	25
122	110	24
123	111	23
124	112	22
125	112	21
126	113	20
127	114	19
128	115	18
129	116	17
130	117	16
131	117	16
132	118	15
133	119	14
134	120	13
135	121	12
136	122	11
137	122	10
138	123	9
139	124	8
140	125	7
141	126	7
142	126	6
143	127	5
144	128	4
145	129	3
146	130	2
147	131	1
148	131	0
149	132	0
